mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
58692.96413391694,128.1189,70741.79706754567,-35114.15970207225,1496.5968853748932,52.33094453320435,4.437421832220159,4910.0,0.82,533.1784,3000.0,296.0515,1.854645563313452,EIN605P_1521,pop,123710.36640551282,0.01124268548018329,True
58653.43836255515,149.472,65498.02704443337,-32550.766300166466,1822.0188510463574,52.35465030524532,4.36076289046111,5978.0,0.82,531.1492,3000.0,296.0435,1.845587943735005,EIN605P_1521,pop,120426.41210147928,0.00811085095360765,True
58614.116743323015,170.8252,60273.99428890823,-29997.929172971955,2147.440816720857,52.378209309273615,4.284310591819823,7045.0,0.82,529.1122,3000.0,295.5435,1.8351585456944137,EIN605P_1521,pop,117263.75192024435,0.006002737678966125,True
58575.02838511872,192.1783,55048.14347306627,-27500.457500750104,2472.86278239533,52.4012212416694,4.207740791916133,8113.0,0.82,527.0674,3000.0,295.3342,1.8233344369080626,EIN605P_1521,pop,114215.2410455278,0.0048135037613193255,True
58536.202225842404,213.5315,49833.58033484305,-25031.733399312267,2798.2847480697524,52.42392410059332,4.131253303241282,9181.0,0.82,525.0146,3000.0,295.1648,1.810145298599739,EIN605P_1521,pop,111280.96448365209,0.0040730069911110766,True
58497.66643449581,234.8846,44632.224429456284,-22588.057868275468,3123.706713744109,52.44635121341033,4.05487857059953,10248.0,0.82,522.9537,3000.0,294.9962,1.7956523125748978,EIN605P_1521,pop,108460.76411289789,0.003487426818863015,True
58459.4478592842,256.2378,39444.28899305528,-20169.305040270297,3449.128679418382,52.468503975228366,3.97862125362963,11316.0,0.82,520.8846,3000.0,294.8432,1.7799063859183863,EIN605P_1521,pop,105748.21700723964,0.0030228992678891374,True
58421.571538333985,277.5909,34270.61187340186,-17773.999128084357,3774.550645092561,52.49039589140434,3.902495374374495,12384.0,0.82,518.8074,3000.0,294.7363,1.7630135346774647,EIN605P_1521,pop,103143.45105828787,0.002682409321548169,True
58384.0602836395,298.9441,29113.2756036651,-15397.932208916653,4099.9726107666265,52.51206500459202,3.8265335199234713,13451.0,0.82,516.7217,3000.0,294.6065,1.7451003662211164,EIN605P_1521,pop,100646.22844325933,0.002403062010116995,True
58346.934343392255,320.2972,23971.478888319558,-13043.123508728524,4425.39457644056,52.533493564913826,3.7507249885986345,14519.0,0.817952,513.3425,3000.0,294.5213,1.7245877798714566,EIN605P_1521,pop,97988.1313342214,0.0021680159978737486,True
58310.25722563464,341.6504,18860.0295287003,-10711.406633950342,4750.816542114328,52.55466491911305,3.6752900663014385,15587.0,0.815539,509.7368,3000.0,294.4853,1.7029750901715242,EIN605P_1521,pop,95424.15925665808,0.0019795418079563954,True
58274.052401889836,363.0035,13783.233420747823,-8399.354420223166,5076.238507787905,52.575610548553456,3.6002943795797644,16654.0,0.814127,506.7582,3000.0,294.46,1.6816056480271655,EIN605P_1521,pop,93107.47611423442,0.001819077412266596,True
58238.308785255984,384.3566,8735.276184244822,-6103.124940619046,5401.660473461272,52.59636598733853,3.525653630962346,17722.0,0.813327,504.1575,3000.0,294.4512,1.6603027944892137,EIN605P_1521,pop,90967.10370495301,0.0016795102877300051,True
58203.02023513106,405.7098,3713.0537387930563,-3819.5261425303747,5727.0824391344095,52.61696068902777,3.451323251558126,18790.0,0.813199,501.9664,3000.0,294.4219,1.6392696157845044,EIN605P_1521,pop,88994.91512082753,0.0015627775216367212,True
58168.17611417887,427.0629,-1288.340108982484,-1548.4861550715507,6052.504404807287,52.63739588946869,3.3772318023436037,19857.0,0.812734,499.5602,3000.0,294.3824,1.6178617560307311,EIN605P_1521,pop,87089.9849869532,0.00145894688115082,True
58133.78447285527,448.4161,-6267.144280235963,708.1552681037703,6377.926370479849,52.65765551046061,3.3034061471599903,20925.0,0.812476,497.2743,3000.0,294.3804,1.5966147042298535,EIN605P_1521,pop,85298.36759480086,0.00010262004539751998,True
58099.838599958384,469.7692,-11223.072619920473,2954.2217280647455,6703.348336151994,52.67777458405246,3.2298518075119147,21993.0,0.813354,495.6734,3000.0,294.3811,1.57629729658233,EIN605P_1521,pop,83688.95283753058,0.0,True
58066.31007453511,491.1224,-16162.868543374352,5193.051507196441,7028.770301823749,52.69778348256333,3.1564695146375796,23060.0,0.81429,494.093,3000.0,294.3932,1.5562123586605938,EIN605P_1521,pop,82168.19255099347,0.0,True
