mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
77219.9999000028,0.0,93338.61541476294,-39254.11029429566,30.480000304410172,52.304599762879015,4.777520178306066,100.0,0.3,198.3755,1895.0,237.9631,1.8214070997702323,EIN605P_1588,fuel,113444.5110028683,0.28658016556438004,False
77179.72632584584,22.0993,91437.5373682158,-40443.73822064165,243.2250400628495,52.29422528733076,4.749239308828138,798.0,0.364075,240.1666,2116.0,237.9631,1.7810093550132402,EIN605P_1588,fuel,105588.54270293817,0.1561477064336359,False
77140.35983658925,44.1986,89134.78552875364,-41884.71951051786,480.7797466678418,52.28164970439966,4.7150008610806236,1577.0,0.433604,285.2602,2337.0,271.1121,1.766616454027907,EIN605P_1588,fuel,103327.57166092077,0.09242422705792595,False
77101.3400728785,66.2979,85907.74437066248,-41822.076592110854,743.1441201195474,52.28273027121618,4.667586802965259,2438.0,0.503726,330.3997,2558.0,295.2689,1.7790415095152272,EIN605P_1588,fuel,105266.84310334429,0.06711455909001877,False
77062.07468133426,88.3972,82526.3998717821,-40225.968442003505,1030.3181604179656,52.297603599744974,4.618280836420268,3380.0,0.570746,373.1234,2779.0,295.3101,1.804294265987938,EIN605P_1588,fuel,109773.10866125919,0.05542137028442938,False
77022.27002303473,110.4965,78708.87752440275,-38420.61384756437,1342.3018675629705,52.31440100006338,4.562575629442768,4404.0,0.632337,411.8967,3000.0,295.3563,1.8295731377906126,EIN605P_1588,fuel,115454.6646551112,0.041493367679944236,False
76981.91260547888,132.5958,74496.43831169326,-36424.33214589564,1679.0952415536933,52.33294309078737,4.501059682455387,5509.0,0.687352,445.9754,3000.0,295.3744,1.8375292459813675,EIN605P_1588,fuel,117631.88034714333,0.030318465973175602,False
76941.38602557644,154.6951,69934.49895146227,-34260.661543409245,2015.8886155448783,52.35300335233481,4.434382063807153,6614.0,0.738485,477.2566,3000.0,295.4021,1.8459593609750267,EIN605P_1588,fuel,120249.82665138246,0.02093755049359541,False
76900.67410323009,176.7944,65052.41237072951,-31942.256830909162,2352.6819895361064,52.374455796194084,4.362958700620225,7719.0,0.785389,505.5445,3000.0,295.4268,1.8532592152248686,EIN605P_1588,fuel,122876.17181283634,0.015364117207348338,False
76859.79814372935,198.8937,59881.011668787614,-29483.734451299642,2689.475363527368,52.397157048423296,4.287227616271338,8824.0,0.82,525.7018,3000.0,295.4134,1.8565955336282631,EIN605P_1588,fuel,124732.85635977474,0.011505799161961965,False
