mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,map_type,thrust,cost_grid,max_fuel
71037.09172428463,0.0,34058.24855157534,101161.12164332422,30.480000304479823,52.321300505698744,4.779960154005953,100.0,0.3,198.3755,2549.0,183.0038,1.8596185680792128,VLG12BR_219,fuel,DN,125532.8151788468,0.08514526951305029,False
71023.11104839637,7.5173,34018.390233021804,100401.53408054909,127.81898406507239,52.314472023905715,4.779296809862346,419.0,0.319802,211.2371,2624.0,183.0038,1.850447606730362,VLG12BR_219,fuel,DN,121814.47516255235,0.07686947423544792,False
71009.19931728275,15.0345,33975.92649096295,99592.29446615135,228.0286318546081,52.30719717966894,4.778590334377335,748.0,0.340555,224.69,2699.0,194.2796,1.8411398406703614,VLG12BR_219,fuel,DN,118708.19774536471,0.06621017041962572,False
70995.35774926242,22.5518,33763.22103210689,98756.5776435851,331.1089436733495,52.29969466275979,4.775377994843936,1086.0,0.362063,238.6012,2774.0,199.4167,1.8324742850172173,VLG12BR_219,fuel,DN,116220.57696808205,0.052894593609416715,False
70981.58171404526,30.069,33458.66341999324,97892.54489509476,437.0599195213442,52.291942988835345,4.770813456361305,1434.0,0.384127,252.8365,2850.0,199.4202,1.8252200151975488,VLG12BR_219,fuel,DN,114358.24289598013,0.04575104520245522,False
70967.86159877389,37.5863,33135.75858285515,96976.63742440009,545.8815593985531,52.28372573231678,4.7659757016623665,1791.0,0.406554,267.2664,2925.0,199.4268,1.8196113483978416,VLG12BR_219,fuel,DN,113027.88717152378,0.03945155769215342,False
70954.18437575221,45.1035,32794.19944520926,96008.17491492146,657.5738633048137,52.275036759813666,4.760860455588517,2157.0,0.429164,281.7697,3000.0,199.4306,1.8159648192198659,VLG12BR_219,fuel,DN,112206.72625552563,0.03483264570046605,False
70940.53538501948,52.6208,32433.933438143657,94986.88531646457,772.1368312394167,52.265873591828424,4.755467245662839,2533.0,0.451791,296.2364,3000.0,199.4322,1.8060830922561797,VLG12BR_219,fuel,DN,110128.88164671398,0.0317202016678603,False
70926.96187628538,60.138,32054.943471414856,93912.61245182305,886.6997991762332,52.25623478677438,4.7497961509422675,2909.0,0.474822,310.9278,3000.0,199.4395,1.7980617762657793,VLG12BR_219,fuel,DN,108576.19308342732,0.028919284631386436,False
70913.44996260584,67.6553,31656.833800824097,92784.59878104615,1001.2627671131323,52.24611351471868,4.743841650974851,3285.0,0.498093,325.7358,3000.0,199.4493,1.79220120253308,VLG12BR_219,fuel,DN,107505.63728355739,0.026620755739284564,False
70899.9834326727,75.1726,31239.39396563274,91602.46424562161,1115.8257350500967,52.235506326791196,4.73760100782935,3661.0,0.521453,340.5613,3000.0,199.4524,1.7885800289133946,VLG12BR_219,fuel,DN,106868.13094717701,0.02456173947299031,False
70886.54542318905,82.6898,30802.737144480503,90366.11891621893,1230.3887029871141,52.22441236254594,4.731076284303259,4037.0,0.544767,355.3159,3000.0,199.4508,1.7870961911078505,VLG12BR_219,fuel,DN,106611.83530362761,0.022863602332780255,False
70873.11978647788,90.2071,30347.059380192088,89075.80483109585,1344.9516709241752,52.21283374072671,4.724270806210707,4413.0,0.567916,369.9221,3000.0,199.452,1.7875195686826457,VLG12BR_219,fuel,DN,106684.67905633623,0.021946097540074844,False
70859.69206515353,97.7243,29872.49454524128,87732.10214989791,1459.5146388612725,52.200775622859155,4.717187030617502,4788.0,0.590798,384.3133,3000.0,199.454,1.7895507271629933,VLG12BR_219,fuel,DN,107037.3209804547,0.02117218970868944,False
70846.25007619812,105.2416,29379.305676334996,86335.81660534124,1574.0776067984011,52.188245190752134,4.709829340837515,5164.0,0.613325,398.4336,3000.0,199.4509,1.7928389484033624,VLG12BR_219,fuel,DN,107619.74548150436,0.020564440148322538,False
70832.78415915163,112.7588,28867.969739695895,84887.90614722754,1688.640574735556,52.17525098305867,4.702205278050538,5540.0,0.635425,412.2371,3000.0,199.4448,1.7970556893433258,VLG12BR_219,fuel,DN,108388.80876332358,0.020123162110734484,False
70819.28716559257,120.2761,28338.98212390393,83389.5091265782,1803.2035426727343,52.16180315988374,4.694322670688161,5916.0,0.65704,425.687,3000.0,199.4414,1.8018924498714928,VLG12BR_219,fuel,DN,109304.23863822129,0.01980935257184183,False
70805.75426982078,127.7933,27792.74289961095,81841.94669191641,1917.766510609932,52.1479135303014,4.686187964513662,6292.0,0.678124,438.7549,3000.0,199.4395,1.8070810966462703,VLG12BR_219,fuel,DN,110329.90179161588,0.01965061868394078,False
70792.1826721636,135.3106,27229.70969452419,80246.63450774648,2032.3294785471464,52.133594750604495,4.677808454525207,6668.0,0.698643,451.4202,3000.0,199.4346,1.812400395137166,VLG12BR_219,fuel,DN,111433.84881034195,0.01990143642985296,False
70778.57125265729,142.8278,26650.489926323924,78605.01951150227,2146.892446484375,52.118859751566106,4.669193627293871,7044.0,0.718573,463.6685,3000.0,199.4292,1.8176761969187978,VLG12BR_219,fuel,DN,112588.09803086732,0.0201722455158179,False
70764.92021789767,150.3451,26055.649221637217,76918.6203939328,2261.455414421617,52.10372211244271,4.660352353804009,7419.0,0.737899,475.4917,3000.0,199.4278,1.8227867227540653,VLG12BR_219,fuel,DN,113770.42027194938,0.0205723944840265,False
70751.23076989125,157.8624,25445.623443159733,75189.0349096925,2376.018382358871,52.088196130701235,4.651291601318307,7795.0,0.756612,486.8862,3000.0,199.428,1.8276251566366633,VLG12BR_219,fuel,DN,114956.5754500567,0.0209205379704795,False
