mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,map_type,thrust,cost_grid,max_fuel
71037.09172428428,0.0,34058.24855157486,101161.12164332396,30.48000030452619,52.321300505698744,4.779960154005946,100.0,0.3,198.3755,2464.0,183.0038,1.9462341589242076,VLG12BR_219,fuel,D,122676.3579550636,0.37634534793328234,False
71024.66324539742,6.3846,34024.37470000687,100515.58120688109,110.38702084351391,52.31549727622846,4.779396393351049,362.0,0.317588,209.8158,2540.0,183.0038,1.9266868785119495,VLG12BR_219,fuel,D,119767.38955271392,0.3162947352533687,False
71012.35923678173,12.7692,33988.534702700206,99832.57155688596,192.77897379574998,52.309357205881355,4.778800074328362,632.0,0.335797,221.639,2617.0,192.5807,1.9096465992719556,VLG12BR_219,fuel,D,117376.14887358202,0.2598137254412237,False
71000.16523212624,19.1538,33831.1140191283,99127.19532992342,277.6558591614673,52.30302345696146,4.77641366987036,911.0,0.354494,233.7551,2694.0,199.1425,1.8953545292626774,VLG12BR_219,fuel,D,115461.3689619276,0.20223740670846285,False
70988.06379413191,25.5385,33581.086281564814,98406.8859763327,365.01767694072123,52.296561008334486,4.772664749761713,1198.0,0.373549,246.0757,2770.0,199.1394,1.883853029985082,VLG12BR_219,fuel,D,113974.55702446618,0.16307562834406522,False
70976.03580664955,31.9231,33317.84780445403,97648.38750906661,454.8644271335091,52.289755804862,4.7687189167644695,1492.0,0.392836,258.5164,2847.0,199.1389,1.8756505444533653,VLG12BR_219,fuel,D,112941.4172177061,0.13440157970737415,False
70964.06166387832,38.3077,33041.23992567477,96851.34178007311,547.1961097397779,52.28260461549818,4.764573985641033,1795.0,0.412237,270.9983,2923.0,199.1375,1.8702400880906105,VLG12BR_219,fuel,D,112271.65626188167,0.10882015842169888,False
70952.12226337228,44.6923,32751.23286052405,96015.62095422273,642.0127247593705,52.27510627143723,4.760229699519127,2106.0,0.431645,283.4494,3000.0,199.1374,1.867832747373707,VLG12BR_219,fuel,D,111976.53931795972,0.08995555985952153,False
70940.19976411478,51.0769,32447.844273659506,95141.33230319651,739.314272191592,52.26726171433808,4.755686531362676,2426.0,0.450963,295.8046,3000.0,199.1385,1.8533175236588781,VLG12BR_219,fuel,D,110233.04729153076,0.07938606760140698,False
70928.37105009716,57.4615,32131.074376198558,94228.53777977923,836.6158196252326,52.25907147837328,4.750944701954808,2745.0,0.470565,308.3177,3000.0,199.1399,1.8416559203502099,VLG12BR_219,fuel,D,108874.40014495316,0.06990250520892424,False
70916.61796331203,63.8462,31800.750138063504,93276.76351902426,933.9173670589363,52.25053128809317,4.746001845652733,3064.0,0.49035,320.9214,3000.0,199.1444,1.8328632217910603,VLG12BR_219,fuel,D,107873.09091809648,0.06189086406855511,False
70904.92220228347,70.2308,31456.724745088624,92285.76003819515,1031.2189144926879,52.24163888299298,4.740856015857343,3383.0,0.510223,333.5535,3000.0,199.1468,1.8268457348598992,VLG12BR_219,fuel,D,107198.6849117695,0.055940295703567254,False
70893.2660430677,76.6154,31099.001787327023,91255.4416879799,1128.5204619264787,52.23239346606474,4.735507501607864,3702.0,0.530098,346.157,3000.0,199.1478,1.8234238434573973,VLG12BR_219,fuel,D,106818.98040518851,0.05049043037219901,False
70881.63289104844,83.0,30727.64024368289,90185.90030758566,1225.822009360301,52.22279583236339,4.729957430940811,4022.0,0.549897,358.6809,3000.0,199.1492,1.8223486890874847,VLG12BR_219,fuel,D,106700.23556118747,0.04676085773404124,False
70870.00766727963,89.3846,30342.72074438677,89077.39669624534,1323.123556794149,52.21284829436643,4.724207273009291,4341.0,0.569549,371.0802,3000.0,199.1495,1.8233610399250126,VLG12BR_219,fuel,D,106812.03681484373,0.044960948574317164,False
70858.37704609739,95.7692,29944.39927936249,87930.32153200904,1420.4251042280187,52.20255432771255,4.7182596211477605,4660.0,0.572976,372.8904,3000.0,199.1494,1.8208721508765915,VLG12BR_219,fuel,D,106537.58998646143,0.04340916709054192,False
70846.76241511003,102.1539,29544.12546576909,86777.61601304538,1517.7266516618838,52.192209532525844,4.712285591480925,4979.0,0.576147,374.5284,3000.0,199.1501,1.8182970542511179,VLG12BR_219,fuel,D,106255.11372784986,0.04211990475327526,False
70835.16430870723,108.5385,29142.069662476682,85619.82140885586,1615.0281990957442,52.18181876333231,4.70628776764293,5299.0,0.579339,376.1756,3000.0,199.1511,1.8157025237690634,VLG12BR_219,fuel,D,105972.0030640176,0.04113494847448379,False
70823.58278682752,114.9231,28738.213680167442,84456.91198477603,1712.3297465296005,52.17138178585665,4.700265915575955,5618.0,0.582554,377.8321,3000.0,199.1515,1.8131086360541788,VLG12BR_219,fuel,D,105690.44375068494,0.04035198016363731,False
70812.01790931265,121.3077,28332.560804107514,83288.85437493231,1809.6312939634531,52.160898296031306,4.6942201158745425,5937.0,0.585792,379.498,3000.0,199.1508,1.8105054381532761,VLG12BR_219,fuel,D,105409.34186952905,0.039746079077747784,False
70800.46973591071,127.6923,27925.124767444315,82115.6114110952,1906.9328413973,52.15036795506509,4.688150602173326,6256.0,0.589052,381.1732,3000.0,199.149,1.807892876450963,VLG12BR_219,fuel,D,105128.68672342185,0.0393402356416016,False
70788.93832627902,134.0769,27515.91618301095,80937.14683578664,2004.2343888311425,52.139790432541155,4.682057562563421,6576.0,0.592336,382.858,3000.0,199.1469,1.8052607716606202,VLG12BR_219,fuel,D,104847.38841471609,0.039454473604105034,False
70777.42373998718,140.4616,27104.931367867437,79753.42918317078,2101.5359362649792,52.129165441853274,4.67594097623932,6895.0,0.595642,384.5522,3000.0,199.1454,1.8026295686920943,VLG12BR_219,fuel,D,104567.62706492557,0.03971904148841873,False
70765.9260365201,146.8462,26692.148746308747,78564.43302594457,2198.837483698812,52.11849275153844,4.6698005611353315,7214.0,0.598971,386.2559,3000.0,199.1449,1.799989060032804,VLG12BR_219,fuel,D,104288.30417684931,0.04002777149355108,False
70754.44527528112,153.2308,26277.537537557026,77370.13595747767,2296.139031132638,52.107772157657685,4.663635901174852,7533.0,0.602324,387.9693,3000.0,199.1453,1.79733932600389,VLG12BR_219,fuel,D,104009.42344784993,0.0404612212662876,False
70742.98151559503,159.6154,25861.069818855667,76170.51440443652,2393.4405785664603,52.09700344554096,4.657446622684843,7852.0,0.6057,389.6923,3000.0,199.1461,1.7946803081266025,VLG12BR_219,fuel,D,103730.97396139416,0.04093713699171143,False
70731.53481671136,166.0,25442.72568224319,74965.54183738181,2490.742126000277,52.086186373468564,4.651232469693295,8172.0,0.609101,391.425,3000.0,199.1469,1.792001420817537,VLG12BR_219,fuel,D,103451.85085962186,0.04130718959373402,False
70720.10523780753,172.3846,25022.492712151754,73755.1889521698,2588.0436734340874,52.07532067435621,4.644993296180085,8491.0,0.612525,393.1674,3000.0,199.1476,1.7893238246670766,VLG12BR_219,fuel,D,103174.25429825233,0.041589710057359584,False
70708.6928379919,178.7692,24600.364375548183,72539.42422857956,2685.3452208678927,52.06440606087844,4.638729042456077,8810.0,0.615973,394.9196,3000.0,199.1479,1.786636996327393,VLG12BR_219,fuel,D,102897.08042462634,0.04198951253514037,False
70697.29767630721,185.1539,24176.33905913174,71318.21426445406,2782.646768301693,52.05344222853791,4.632439721017919,9129.0,0.619445,396.6817,3000.0,199.1476,1.7839409685434597,VLG12BR_219,fuel,D,102620.328008195,0.04280570054127452,False
70685.91981173375,191.5385,23750.418450253102,70091.524338077,2879.9483157354875,52.04242886081126,4.626125392840445,9449.0,0.622942,398.4537,3000.0,199.1468,1.7812248561107964,VLG12BR_219,fuel,D,102342.88328724442,0.04369411627353684,False
70674.55930319247,197.9231,23322.603075854615,68859.31995763548,2977.2498631692756,52.031365643283515,4.619786102224438,9768.0,0.626464,400.2356,3000.0,199.1458,1.7785103186813092,VLG12BR_219,fuel,D,102066.95425632913,0.04462514160776585,False
70663.2162095484,204.3077,22892.8848135824,67621.56946166362,3074.5514106030573,52.0202522873381,4.613421767551477,10087.0,0.63001,402.0275,3000.0,199.1454,1.7757865805875692,VLG12BR_219,fuel,D,101791.43302388389,0.04560401652295524,False
70651.89058961385,210.6923,22461.241578688583,66378.24586330603,3171.852958036832,52.009088546923124,4.6070321039202575,10406.0,0.633582,403.8295,3000.0,199.146,1.7730536732167275,VLG12BR_219,fuel,D,101516.31831353158,0.046648825814527256,False
70640.58250215175,217.0769,22027.639900737788,65129.32595580411,3269.154505470602,51.997874210349615,4.6006166609508075,10726.0,0.637178,405.6416,3000.0,199.1478,1.7703004591704452,VLG12BR_219,fuel,D,101240.49259220446,0.04772326727848014,False
70629.29200587881,223.4616,21592.044302699327,63874.78705779634,3366.4560529043674,51.98660907061203,4.594174959725812,11045.0,0.6408,407.4638,3000.0,199.1502,1.7675490949107933,VLG12BR_219,fuel,D,100966.17123213754,0.04880385377687066,False
70618.01915946885,229.8462,21154.428760465238,62614.60303591706,3463.7576003381237,51.97529288917474,4.58770665988062,11364.0,0.644448,409.2962,3000.0,199.1526,1.764788553608622,VLG12BR_219,fuel,D,100692.242555811,0.049851043375609284,False
70606.76402155602,236.2308,20714.783594973956,61348.74191055604,3561.0591477718726,51.963925374220636,4.581211659904935,11683.0,0.648121,411.1388,3000.0,199.1542,1.7620188145765756,VLG12BR_219,fuel,D,100418.70025419453,0.050931156922308936,False
70595.5266507381,242.6154,20273.112841668422,60077.16676713985,3658.3606952056157,51.95250618900712,4.57469005855331,12002.0,0.65182,412.9918,3000.0,199.1551,1.7592399581704765,VLG12BR_219,fuel,D,100145.54801159987,0.05202800797741338,False
70584.30710557962,249.0,19829.423637937736,58799.83944151457,3755.662242639351,51.94103498544178,4.568142000023608,12322.0,0.655546,414.8551,3000.0,199.1555,1.7564404834089375,VLG12BR_219,fuel,D,99871.65898371715,0.05319052492344063,False
70573.10544461507,255.3846,19383.71303970823,57516.72510041449,3852.9637900730786,51.9295114457465,4.561567481897764,12641.0,0.659297,416.7287,3000.0,199.1564,1.7536431630908842,VLG12BR_219,fuel,D,99599.2570681959,0.05435228183008384,False
70561.92172635226,261.7693,18935.958942421283,56227.79539661533,3950.2653375067994,51.917935311099804,4.554966223106455,12960.0,0.663076,418.6128,3000.0,199.1586,1.7508367101853475,VLG12BR_219,fuel,D,99327.23124915073,0.05549850571892605,False
70550.75600927517,268.1539,18486.122246840263,54933.027718669175,4047.566884940511,51.90630637473971,4.548337695776902,13279.0,0.666881,420.5074,3000.0,199.1621,1.7480211015333744,VLG12BR_219,fuel,D,99055.57519015204,0.055481785353919115,False
70539.60835184717,274.5385,18034.16132983233,53632.4001671412,4144.868432374213,51.89462443624649,4.54168133613598,13599.0,0.670713,422.4126,3000.0,199.1661,1.7451846916372533,VLG12BR_219,fuel,D,98783.16899199941,0.05278674669341965,False
70528.47881251413,280.9231,17580.05015087332,52325.88526457672,4242.169979807908,51.882889244393404,4.5349968080327505,13918.0,0.674572,424.3283,3000.0,199.1698,1.7423506902512371,VLG12BR_219,fuel,D,98512.23772222936,0.05011756039419288,False
70517.36744970734,287.3077,17123.78697874502,51013.44691842415,4339.471527241595,51.871100469629425,4.528284129641728,14237.0,0.678458,426.2547,3000.0,199.1722,1.7395075645802223,VLG12BR_219,fuel,D,98241.66724785027,0.047515371812235495,False
70506.27432184647,293.6923,16665.38630576101,49695.04322650383,4436.773074675274,51.85925772965035,4.5215435554566685,14556.0,0.682372,428.1917,3000.0,199.1737,1.7366552363459482,VLG12BR_219,fuel,D,97971.44622030121,0.04495045457836525,False
70495.19948734254,300.0769,16204.859243624613,48370.63329251603,4534.074622108943,51.84736065132815,4.514775290951279,14876.0,0.686313,430.1395,3000.0,199.175,1.7337818692424483,VLG12BR_219,fuel,D,97700.45704103762,0.0424130183564091,False
70484.14300460063,306.4616,15742.197375730959,47040.182843911556,4631.376169542603,51.835408921674706,4.507979257883161,15195.0,0.690282,432.098,3000.0,199.1771,1.730911155853694,VLG12BR_219,fuel,D,97430.93035314514,0.03992346087188243,False
70473.10493202273,312.8462,15277.372003674656,45703.664497237725,4728.677716976255,51.82340229016722,4.501155083673672,15514.0,0.69428,434.0674,3000.0,199.1801,1.7280313203148103,VLG12BR_219,fuel,D,97161.74923492054,0.037490669060029125,False
70462.08532801032,319.2308,14810.348129777405,44361.05289883108,4825.979264409895,51.81134052459177,4.494302304937551,15833.0,0.698306,436.0476,3000.0,199.1836,1.7251422817965194,VLG12BR_219,fuel,D,96892.90238648097,0.035114514457740255,False
70451.08425096703,325.6154,14341.10176771146,43012.318705516496,4923.280811843529,51.79922335643928,4.4874206190794865,16152.0,0.70236,438.0388,3000.0,199.1868,1.722244120330739,VLG12BR_219,fuel,D,96624.39354872302,0.03278726612994235,False
70440.1017593012,332.0,13869.627851588606,41657.42583093305,5020.582359277149,51.78705045599101,4.480509998985447,16472.0,0.706443,440.0409,3000.0,199.1891,1.719324539327242,VLG12BR_219,fuel,D,96355.08722522596,0.0305064314908109,False
70429.13791142809,338.3846,13395.934494178793,40296.33344022339,5117.883906710761,51.77482145047449,4.473570609326883,16791.0,0.710555,442.054,3000.0,199.1906,1.7164079347534147,VLG12BR_219,fuel,D,96087.23013571244,0.0282640575585714,False
70418.19276577236,344.7693,12920.029937178406,38929.00049129952,5215.185454144359,51.762535965261605,4.466602616888347,17110.0,0.714695,444.0782,3000.0,199.1917,1.7134821771211934,VLG12BR_219,fuel,D,95819.6973737322,0.026062977392678197,False
70407.2663807702,351.1539,12441.91194120172,37555.38942993602,5312.487001577946,51.750193657335785,4.459606036574054,17429.0,0.718866,446.1135,3000.0,199.1928,1.710547237684039,VLG12BR_219,fuel,D,95552.48275176721,0.02390256186738281,False
70396.35881487133,357.5385,11961.566034080153,36175.4668019993,5409.788549011521,51.73779422079056,4.4525807061736336,17749.0,0.723065,448.1599,3000.0,199.1943,1.7075906382380022,VLG12BR_219,fuel,D,95284.45397979194,0.022941237878532996,False
70385.47012654111,363.9231,11478.972522721326,34789.20081475852,5507.090096445083,51.7253373647013,4.445526388298652,18068.0,0.727295,450.2175,3000.0,199.1958,1.704637244289859,VLG12BR_219,fuel,D,95017.86176914777,0.022013665487968934,False
70374.60037426218,370.3077,10994.116341132132,33396.557910079006,5604.391643878633,51.712822782091145,4.438442913307745,18387.0,0.731554,452.2864,3000.0,199.1971,1.7016746908273075,VLG12BR_219,fuel,D,94751.57929913327,0.02110196279073532,False
70363.74961653625,376.6923,10506.992729293212,31997.500787860026,5701.693191312169,51.700250132068646,4.431330261572408,18706.0,0.735844,454.3665,3000.0,199.1977,1.6987028930414518,VLG12BR_219,fuel,D,94485.59556004935,0.020197628808102816,False
70352.91791188557,383.077,10017.605682787109,30591.98894622779,5798.994738745693,51.68761904475837,4.424188540823888,19026.0,0.740164,456.458,3000.0,199.1975,1.6957092530750024,VLG12BR_219,fuel,D,94218.78681475658,0.019317839426557112,False
70342.10531885429,389.4616,9525.96145038555,29179.980946979824,5896.296286179204,51.674929141823434,4.417017891762427,19345.0,0.744514,458.5608,3000.0,199.1967,1.692718986528348,VLG12BR_219,fuel,D,93953.39708662935,0.018464061769321752,False
70331.31189600957,395.8462,9032.062455483067,27761.43653412437,5993.597833612695,51.66218005562597,4.409818399945134,19664.0,0.748895,460.675,3000.0,199.1956,1.6897194973304164,VLG12BR_219,fuel,D,93688.29811084649,0.018033206318967224,False
70320.53770194296,402.2308,8535.9060717651,26336.317061934787,6090.899381046173,51.64937143307874,4.402590078120458,19983.0,0.753307,462.8007,3000.0,199.1941,1.6867108114428258,VLG12BR_219,fuel,D,93423.48892568712,0.017816490607716222,False
70309.78279527077,408.6154,8037.4886076428265,24904.584109204665,6188.200928479634,51.63650292310353,4.395332924023063,20302.0,0.757751,464.9379,3000.0,199.1921,1.6836928992230742,VLG12BR_219,fuel,D,93158.97614079458,0.012306802854326475,False
70299.04723346002,415.0,7536.810549007569,23466.197655901364,6285.502475913082,51.6235741601584,4.388046996301742,20622.0,0.762226,467.0866,3000.0,199.1895,1.680652772334883,VLG12BR_219,fuel,D,92893.83783024366,0.0066093388868312735,False
70288.33105689252,421.3847,7033.878004241317,22021.115582772163,6382.804023346513,51.61058475973827,4.380732435362036,20941.0,0.766732,469.2469,3000.0,199.186,1.6776163194093827,VLG12BR_219,fuel,D,92630.98990609887,0.0010213546884701667,False
70277.63425532661,427.7693,6528.698458661105,20569.29515206168,6480.105570779924,51.59753433176611,4.373389401827755,21260.0,0.77127,471.4188,3000.0,199.182,1.6745706071630162,VLG12BR_219,fuel,D,92370.46078135249,0.0,False
70266.95672989503,434.1539,6021.274033040963,19110.69535561635,6577.407118213317,51.58442250178869,4.366017978984917,21579.0,0.775841,473.6024,3000.0,199.1778,1.6715156611326774,VLG12BR_219,fuel,D,92113.94684341099,0.0,False
70256.29825208918,440.5385,5511.597717562119,17645.27822534268,6674.708665646692,51.57124892277468,4.358618118409859,21899.0,0.780443,475.7976,3000.0,199.1737,1.6684382177533517,VLG12BR_219,fuel,D,91862.5869837477,0.0,False
70245.65841963947,446.9231,4999.655840774703,16173.007973656953,6772.01021308005,51.55801326732127,4.351189675840455,22218.0,0.785078,478.0046,3000.0,199.1697,1.6653646546222067,VLG12BR_219,fuel,D,91621.48583460113,0.0,False
70235.03660923948,453.3077,4485.435621004955,14693.848367976558,6869.311760513387,51.54471520395147,4.343732520467979,22537.0,0.789746,480.2234,3000.0,199.1653,1.6622818150305385,VLG12BR_219,fuel,D,91393.01536800797,0.0,False
70224.43192611361,459.6923,3968.932892128427,13207.760047699416,6966.613307946701,51.531354372934466,4.336246646581809,22856.0,0.794447,482.4539,3000.0,199.1603,1.6591896055386546,VLG12BR_219,fuel,D,91181.33047363647,0.0,False
70213.84315050312,466.077,3450.154668078182,11714.699638073967,7063.914855379997,51.517930378339905,4.328732210466094,23176.0,0.79918,484.6964,3000.0,199.1543,1.6560747695013804,VLG12BR_219,fuel,D,90990.26508401788,0.0,False
70203.26868124156,472.4616,2929.1142780191244,10214.621446906067,7161.216402813276,51.504442803373685,4.321189459919016,23495.0,0.803948,486.9507,3000.0,199.1475,1.6529638715011192,VLG12BR_219,fuel,D,90827.5506044676,0.0,False
70192.70647671525,478.8462,2405.8217928936397,8707.480794674479,7258.517950246539,51.49089124039602,4.313618595880395,23814.0,0.808748,489.2169,3000.0,199.1402,1.6498435870536035,VLG12BR_219,fuel,D,90698.51488419004,0.0,False
70182.15399365888,485.2308,1880.2762076713036,7193.236729257065,7355.819497679757,51.47727531534555,4.306019659623037,24133.0,0.813448,491.4136,3000.0,199.1331,1.64666797198367,VLG12BR_219,fuel,D,90601.50892165714,0.0,False
70171.60879350208,491.6154,1352.5530077778708,5672.10508955078,7453.1210451129755,51.46359696332894,4.298393797963214,24452.0,0.817854,493.4246,3000.0,199.1261,1.643372003993323,VLG12BR_219,fuel,D,90526.3652619425,0.0,False
70161.06919527575,498.0,822.8495967434117,4144.664181316231,7550.422592546195,51.44986137926465,4.2907439154600535,24772.0,0.82,494.0664,3000.0,199.119,1.6392934505825607,VLG12BR_219,fuel,D,90311.24397096015,0.0,False
70150.54571901649,504.3847,292.64466805753324,2615.166672824415,7647.7241399794,51.43610680237924,4.283091397277088,25091.0,0.82,493.4124,3000.0,199.1114,1.6345670913492625,VLG12BR_219,fuel,D,89940.67553130255,0.0,False
70140.05032199378,510.7693,-236.65233347279138,1087.633341880136,7745.025687412577,51.422369391207944,4.275456578748662,25410.0,0.82,492.7576,3000.0,199.1031,1.6299151502626812,VLG12BR_219,fuel,D,89579.00595020696,0.0,False
70129.58246912848,517.1539,-765.0208715474516,-437.9398551534658,7842.3272348457285,51.40864910199639,4.2678397508731685,25729.0,0.82,492.1019,3000.0,199.0942,1.6253390715565,VLG12BR_219,fuel,D,89226.22961972319,0.0,False
70119.1416138568,523.5385,-1292.4459965520487,-1961.5550060635785,7939.62878227885,51.39494592956821,4.260241119038503,26049.0,0.82,491.4453,3000.0,199.0853,1.6208275547945883,VLG12BR_219,fuel,D,88881.57532868418,0.0,False
70108.72719821754,529.9231,-1818.9276680577914,-3483.2090205002237,8036.930329711946,51.381259907435684,4.252660623754013,26368.0,0.82,490.7879,2969.0,199.0769,1.6110936598731984,VLG12BR_219,fuel,D,88120.64932516571,0.0,False
70098.37236178643,536.3077,-2344.5041509612,-5002.9616720363265,8133.217111532521,51.36759049995309,4.245097686887039,26684.0,0.82,490.1364,2892.0,199.0694,1.5933390794843865,VLG12BR_219,fuel,D,86737.62463549493,0.0,False
70088.12668768337,542.6924,-2869.236284512249,-6520.920549475061,8227.018960940506,51.35393674213526,4.237551408165392,26992.0,0.82,489.501,2815.0,199.0624,1.5754117231979212,VLG12BR_219,fuel,D,85368.43381915137,0.0,False
70077.9911878757,549.077,-3393.155031759126,-8037.1270373666575,8318.335877935277,51.34029826444055,4.230021318644025,27291.0,0.82,488.8815,2739.0,199.0554,1.557511132668369,VLG12BR_219,fuel,D,84026.98394685268,0.0,False
