fid,latitude,longitude,tow,altitude,runway
EIN60R_1420,53.060054455773304,2.134565080915179,61554.47027137923,35950.0,24
EIN60R_1422,53.16828918457031,2.013558523995536,60908.6599733972,35200.0,24
EIN60R_1453,53.09632873535156,2.135114397321429,68685.34636367252,34300.0,24
EIN60R_1503,53.156158447265625,2.10333251953125,67181.8456541567,34425.0,24
EIN60R_1521,53.123412051443324,2.030047248391544,75813.54579604206,32450.0,24
EIN60R_1598,53.047943115234375,2.0774078369140625,67973.98373883235,35475.0,24
EIN60R_1629,53.047066381422134,2.010105678013393,61105.17290503882,35650.0,24
EIN60R_1654,53.05051124702065,2.001081194196429,76364.12393914658,32800.0,24
EIN60R_1656,53.06652521682997,2.025721958705357,64552.14730433843,34050.0,24
EIN60R_1677,53.15185546875,2.076577579273897,67596.02884957523,34500.0,24
EIN60R_1682,53.1356552899894,2.119472728056066,78000.0,32950.0,24
EIN60R_1704,53.09110479839777,2.0221121651785716,77730.50965009166,33875.0,24
EIN60R_1719,53.08360290527344,2.006988525390625,77169.76670404788,33650.0,24
EIN60R_1735,53.15309143066406,2.0479300362723216,78000.0,32700.0,24
EIN611_1404,53.11628723144531,2.018894740513393,64301.9817827852,34000.0,24
EIN611_1441,53.08107279114804,2.039258684430804,77646.68055863841,32037.5,24
EIN611_1463,53.023406982421875,2.061767578125,72098.55432616416,34250.0,24
EIN611_1499,53.06936490333686,2.0126953125,72053.73163777309,33425.0,24
EIN611_1545,52.9857570842161,2.0034354073660716,61000.365946349964,35975.0,24
EIN611_1587,53.032728292174255,2.018345424107143,71664.41923822444,34700.0,24
EIN611_1622,53.01089529263771,2.01104736328125,72647.83646884681,34925.0,24
EIN611_1648,53.20194567664195,2.0773853975183822,65416.30011832051,34350.0,24
EIN611_1650,53.00999450683594,2.063446044921875,64036.24113577984,36000.0,24
EIN611_1694,53.023406982421875,2.061767578125,72098.55432616416,34250.0,24
EZY39QU_1014,53.0621337890625,2.0476531982421875,76214.94690994213,34000.0,24
EZY39QU_1015,53.055633544921875,2.01568603515625,62497.89279834049,34025.0,24
EZY39QU_739,53.054168701171875,2.0209503173828125,59448.094194182704,34000.0,24
EZY39QU_868,52.9844970703125,2.0040130615234375,58620.36605509476,33975.0,24
EZY39QU_870,52.92942810058594,2.009124755859375,59062.600541296044,33975.0,24
EZY39QU_912,52.92942810058594,2.009124755859375,59062.600541296044,33975.0,24
EZY51UH_736,53.3232421875,2.184945242745536,65429.78492446501,35325.0,24
EZY51UH_858,53.32365417480469,2.2474103655133932,59945.79439683594,36000.0,24
EZY57FX_1065,53.07893371582031,2.0763397216796875,64878.88192524278,34000.0,24
EZY57FX_1084,53.07316589355469,2.1283721923828125,60471.039419889705,33975.0,24
EZY57FX_1137,52.976806640625,2.0128631591796875,58473.43914014839,34000.0,24
EZY57FX_740,53.091796875,2.0215606689453125,59822.747529500346,34050.0,24
EZY57FX_759,53.09985661910752,2.0006426642922794,59619.34268336839,34000.0,24
EZY57FX_869,53.06854248046875,2.0560455322265625,70775.71398988122,34000.0,24
EZY57FX_907,53.021484375,2.00836181640625,69933.27006745995,34000.0,24
EZY57FX_945,53.16664123535156,2.1061575753348216,61585.20940020612,34025.0,24
EZY57FX_994,53.021484375,2.00836181640625,69933.27006745995,34000.0,24
EZY65HR_834,53.15913391113281,2.1347220284598216,64632.61805409737,34000.0,24
EZY68UT_730,53.047027587890625,2.02789306640625,57675.3193157459,33950.0,24
EZY68UT_751,53.04273702330508,2.0188162667410716,60541.923826028724,34025.0,24
EZY68UT_752,52.99031920352224,2.0184238978794644,64950.0055569852,34000.0,24
EZY68UT_753,52.9947509765625,2.00775146484375,61087.07609839926,34000.0,24
EZY68UT_772,53.01200866699219,2.00592041015625,66978.04664737174,35350.0,24
EZY68UT_780,52.98170703952595,2.023524693080357,71911.92637190381,34000.0,24
EZY68UT_781,53.060287216962394,2.02203369140625,59038.95221511309,34025.0,24
EZY68UT_872,53.008026123046875,2.008056640625,58479.90279852123,33950.0,24
