mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
77219.9999000026,0.0,91659.4921707459,31259.33798629098,30.480000304413434,52.328601836275915,4.708839891842465,100.0,0.3,198.3755,2107.0,3.1751,1.848909466924578,EIN84X_1515,fuel,121262.60162683966,0.1799292613275642,False
77178.69113567457,22.3335,91784.87384046936,33519.541517430065,269.4892855610461,52.348903139082076,4.711304858384931,884.0,0.358055,236.1247,2330.0,3.1751,1.8209989493673566,EIN84X_1515,fuel,113349.07656184968,0.12863352410438914,False
77138.01284177248,44.667,91934.20300016542,36211.43655114017,533.8368352623224,52.37308185067236,4.714243724664105,1751.0,0.421465,277.1064,2553.0,329.6749,1.8056720977095564,EIN84X_1515,fuel,110046.63056373723,0.09718992215562645,False
77097.69633014048,67.0005,90335.986272304,38943.708967267456,823.5226494084785,52.39791478963291,4.691445101230906,2702.0,0.486167,318.5883,2777.0,296.1747,1.807988548026704,EIN84X_1515,fuel,110514.2997883675,0.07548813031239116,False
77057.35362080841,89.3339,87069.05209946766,40549.44583952537,1138.5467279994418,52.4128823561926,4.643721831769465,3735.0,0.548821,358.3414,3000.0,262.6744,1.8214004432819246,EIN84X_1515,fuel,113442.95101566511,0.057225245798949,False
77016.72868067687,111.6674,83007.52036637734,40027.3085213165,1478.909071034416,52.40881885792803,4.583718349116683,4852.0,0.607156,394.8652,3000.0,248.1404,1.8216666079585018,EIN84X_1515,fuel,113505.42072624678,0.03907022414869221,False
76976.11661687467,134.0009,78817.17504903417,38346.232059347385,1819.2714140702897,52.39432264270337,4.5215533644954045,5969.0,0.66339,429.7203,3000.0,248.1541,1.827609854447422,EIN84X_1515,fuel,114952.71168049371,0.02833948787846676,False
76935.38381674673,156.3344,74254.58382711555,36517.08639609721,2159.633757106244,52.378513033761514,4.453912753486797,7085.0,0.716363,462.1726,3000.0,248.1722,1.835773122632049,EIN84X_1515,fuel,117129.73949018409,0.02094946417046388,False
76894.47418047962,178.6679,69345.30606798544,34550.754481910495,2499.9961001422544,52.36147526362067,4.381187000987062,8202.0,0.765476,491.8615,3000.0,248.1784,1.8437774664118556,EIN84X_1515,fuel,119535.78047184521,0.01693130931031132,False
76853.38635828054,201.0014,64119.27174998165,32458.20645317157,2840.3584431783042,52.34329508997225,4.303830633748951,9319.0,0.810561,518.7082,3000.0,248.1627,1.850505241155897,EIN84X_1515,fuel,122071.99972090189,0.013781615517453778,False
76812.1302767917,223.3349,58607.67867081998,30249.56832672819,3180.7207862143823,52.324051132876804,4.222316060709938,10435.0,0.82,522.5918,3000.0,248.1286,1.8456154758573748,EIN84X_1515,fuel,120684.4908002057,0.011726501754254716,False
76770.9664560179,245.6684,53056.107782955034,28021.070612246236,3521.083129250455,52.30457643289888,4.140281357055179,11552.0,0.82,520.426,3000.0,248.0922,1.8369116933041367,EIN84X_1515,fuel,118026.7837925722,0.01057054427883424,False
76729.9983062078,268.0018,47529.125105685824,25798.36467157526,3861.445472286512,52.28509493994081,4.058681151840604,12669.0,0.82,518.2513,3000.0,248.0698,1.8273780966033677,EIN84X_1515,fuel,115493.59346346467,0.009455625308541353,False
76689.24264644759,290.3353,42026.278414211214,23582.86125791208,4201.8078153225515,52.26562021278246,3.977508316727017,13785.0,0.82,516.0673,3000.0,248.0762,1.817089822014228,EIN84X_1515,fuel,113084.74560515664,0.008362801064752897,False
76648.71454932034,312.6688,36546.54940110964,21377.376062554482,4542.170158358573,52.24617845950683,3.896747478321321,14902.0,0.82,513.8741,3000.0,248.1105,1.8061146509512245,EIN84X_1515,fuel,110795.2204470712,0.007499984833585742,False
76608.42699573803,335.0023,31088.971558530015,19184.602234393227,4882.532501394575,52.22679473834982,3.8163838532668217,16019.0,0.82,511.6715,3000.0,248.1582,1.79455746299681,EIN84X_1515,fuel,108625.28406140715,0.006738038870465097,False
76568.39059010427,357.3358,25653.148034259102,17005.828818850907,5222.8948444305515,52.20748141103325,3.7364107615263626,17135.0,0.82,509.4593,3000.0,248.1986,1.7825359552545408,EIN84X_1515,fuel,106575.01008408313,0.006066717411060126,False
76528.61333657127,379.6693,20239.479057336153,14840.364144552328,5563.257187466504,52.18823297663929,3.6568330258387935,18252.0,0.82,507.2375,3000.0,248.2187,1.7701476362618473,EIN84X_1515,fuel,104640.39854145359,0.005514168008982683,False
76489.10047419726,402.0028,14848.84698811329,12686.309118211724,5903.619530502427,52.16903307307872,3.5776625225821626,19369.0,0.82,505.0059,3000.0,248.2291,1.7575233198276041,EIN84X_1515,fuel,102821.98438772047,0.005065772078124392,False
76449.85436660753,424.3363,9481.72979968511,10542.77502342368,6243.9818735383205,52.149874460230336,3.498905330593949,20486.0,0.82,502.7645,3000.0,248.2535,1.7447877271220316,EIN84X_1515,fuel,101119.05499611395,0.0024025249786311484,False
76410.87444027518,446.6697,4137.713098333774,8411.111577377731,6584.344216574178,52.13077004572432,3.420554526276535,21602.0,0.82,500.5129,3000.0,248.3064,1.7320763497520717,EIN84X_1515,fuel,99532.10277098989,0.0,False
76372.15716468079,469.0032,-1184.1355536825988,6293.979377181843,6924.706559609998,52.11174448870171,3.3425955207142666,22719.0,0.82,498.2512,3000.0,248.3748,1.7194934012707235,EIN84X_1515,fuel,98058.73263136024,0.0,False
76333.69606727645,491.3367,-6484.254945959355,4192.819081223255,7265.068902645785,52.092811426902365,3.2650208788215695,23836.0,0.82,495.9792,3000.0,248.4328,1.7071709271982403,EIN84X_1515,fuel,96700.07946573828,0.0,False
