fid,costs_r,costs_n,costs_f,noises_r,noises_n,noises_f,fuels_r,fuels_n,fuels_f,noise_nr,noise_nf,fuel_nr,fuel_nf
AUA3NA_1248,0.3458775610716056,0.36934804198621013,0.5842058499815856,37444.58031048085,41394.667554228676,64514.70116540407,1488.2363347557693,1341.0743587739416,1314.7787831019814,1.1054915614220995,0.6416315476390444,0.9011165279700162,1.0200000000075455
AUA3NA_1264,0.4287157620779691,0.3933931155563086,0.4371921823315052,42511.38166974014,43519.03961462178,49551.28515466166,1585.0551574766287,1366.4333106197591,1339.640500597874,1.0237032508778443,0.8782625814605662,0.8620730352343634,1.0200000000074108
EIN611_1587,0.2600519991456817,0.23374252258857642,0.2428588610264465,29942.666890721142,24620.24482871972,27654.70703159738,1531.3470469951717,1373.6490561297105,1346.7147609019012,0.8222462253804528,0.8902732110157384,0.8970200836088082,1.0200000000072558
EIN611_1606,0.3272687463162552,0.27809337842325504,0.2822609155848944,38059.3598225076,29356.572417509135,32827.15311248235,1505.8933377921785,1379.168187480056,1352.125674019786,0.7713364742448506,0.8942771344477768,0.915847193734241,1.0199999999851157
EIN84T_1564,0.3135341096130031,0.23593846378289124,0.2858345038362435,32755.706147563837,24760.405878047684,31036.389580780233,1630.7437113162014,1299.417317716936,1273.9385467715765,0.7559112225058597,0.7977862828922908,0.7968249754390614,1.0200000000077931
EIN84X_1589,0.38112040638527167,0.29352109806510407,0.31175886625533444,46012.08716152146,31059.426542012865,36376.57301936422,1544.9075191222219,1402.4414300766366,1374.9425784968334,0.6750275516296714,0.8538304728562282,0.9077834192129954,1.0200000000071758
EJU78CP_1097,0.374219317567748,0.322430113198077,0.3564196094722349,36233.993026296404,36977.563413171025,40384.40303330874,1490.1532705176505,1436.7441605311324,1408.5727063934755,1.0205213481808362,0.9156397182019063,0.9641586466015238,1.0200000000069485
VLG139G_110,0.359429344808421,0.32365836717842306,0.3824456582577298,34133.87873640445,36416.841260098605,43264.75609160513,1574.1265125409263,1393.3994787684933,1366.077920351585,1.0668825989956814,0.841720711033079,0.8851890033408389,1.02000000000723
VLG49VA_328,0.45632141255824277,0.3605516421230961,0.6132071472939756,43638.43775148511,39249.43641184956,66276.84614822843,1551.5470308546064,1333.9528189442863,1307.7968813081534,0.8994234998825964,0.5922043472628139,0.8597566122178925,1.0200000000076233
