fid,people_affected
AUA3NA_1248,1107328.0479650497
AUA3NA_1264,1340328.1787986755
EIN611_1587,963521.8490288258
EIN611_1606,1101714.8077106476
EIN84T_1564,755067.1696681976
EIN84X_1589,1319019.1234798431
EJU78CP_1097,1033048.2676391602
VLG139G_110,916597.1274719238
VLG49VA_328,929053.4533019066
