mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid
77999.99991310199,0.0,-76546.0921592864,57733.15830413502,30.480000035320643,52.32859814100074,4.708835478896572,100.0,0.3,198.3755,1938.0,125.5353,1.9019692802180217,AUA3SV_1122
77915.67837065339,44.2468,-72897.624564953,55127.3362635569,466.10871898955105,52.305662629488545,4.7630851919269155,1529.0,0.422458,277.9744,2469.0,126.6205,1.8403857177412573,AUA3SV_1122
77834.3221158387,88.4936,-67854.81296187274,51379.41759226813,1021.0835872282689,52.27260607673804,4.838004666289511,3350.0,0.552997,361.559,3000.0,126.6086,1.8892677945007676,AUA3SV_1122
77751.1157472936,132.7403,-61296.307321575136,46507.11459159998,1695.404564286801,52.22956204572345,4.93527481421718,5562.0,0.581994,377.5433,3000.0,126.5877,1.8731844732471439,AUA3SV_1122
77668.66229764519,176.9871,-54444.5213345654,41420.804823946484,2369.7255413692205,52.18454278052127,5.0366925859025935,7775.0,0.604875,389.2714,3000.0,126.5652,1.8559159294176337,AUA3SV_1122
77586.99427415131,221.2339,-47376.98779124041,36178.65156040822,3044.0465182272847,52.138053839905616,5.141088046887583,9987.0,0.628896,401.4647,3000.0,126.545,1.8381493215037237,AUA3SV_1122
77506.13398954761,265.4807,-40085.396201446725,30774.280391870718,3718.3674948216,52.090030412993165,5.2485642690325625,12199.0,0.654115,414.1396,3000.0,126.5173,1.8198826399874959,AUA3SV_1122
77426.10333110693,309.7275,-32560.176327905694,25202.392960615914,4392.68847110115,52.04041678948094,5.359241015436095,14412.0,0.680595,427.3128,3000.0,126.4834,1.8011118098617815,AUA3SV_1122
77346.92376798611,353.9743,-24791.5355401128,19457.377940817358,5067.009446998186,51.98915370815941,5.473239640270891,16624.0,0.708401,441.0001,3000.0,126.4569,1.7818619653247243,AUA3SV_1122
77268.61635574445,398.221,-16770.720470585533,13531.617266330604,5741.330422420009,51.93616303904396,5.59066463924014,18836.0,0.7376,455.2171,3000.0,126.4434,1.7621284197139053,AUA3SV_1122
77191.20173396397,442.4678,-8489.36173325645,7416.388000197286,6415.651397234997,51.881355948552255,5.711612944109607,21049.0,0.768261,469.9788,3000.0,126.4275,1.7419047639506142,AUA3SV_1122
77114.69615636724,486.7146,62.746096740364166,1104.8977356185246,7089.972371258104,51.8246601933972,5.8362060411083805,23261.0,0.800454,485.2989,3000.0,126.3961,1.7212179490994008,AUA3SV_1122
77038.95407650607,530.9614,8897.568655078043,-5407.776162632011,7764.293344476664,51.76601922053379,5.964588607677675,25473.0,0.82,492.6278,2689.0,126.3789,1.6429640604982103,AUA3SV_1122
76966.10549263244,575.2082,17875.088678447715,-12021.461344038189,8368.809806168874,51.70632582023064,6.094703342974939,27457.0,0.819999,488.5379,2158.0,126.3864,1.5124129088075584,AUA3SV_1122
76898.71495321962,619.455,26788.543365669546,-18589.77260918156,8853.980121544048,51.64690022316958,6.223549761087774,29048.0,0.813763,481.5415,1628.0,126.385,1.3706376452112867,AUA3SV_1122
76837.54574015201,663.7017,35585.04920779195,-25071.551060445257,9219.804287471672,51.588119639492604,6.350374580900305,30249.0,0.807138,475.1523,1097.0,126.3748,1.219223266606914,AUA3SV_1122
76783.06685085742,707.9485,44275.75081747667,-31473.001572735207,9466.282303452945,51.52993348216589,6.47535202702297,31057.0,0.799723,469.1314,566.0,126.3703,1.0587129520480456,AUA3SV_1122
76735.73752340929,752.1953,52865.72312260602,-37799.19929304178,9593.41417022072,51.472301098597,6.598567212452799,31474.0,0.790822,463.0633,35.0,126.3838,0.8891538156778372,AUA3SV_1122
76696.00120998513,796.4421,61350.97590252735,-44051.367028775625,9601.199891341756,51.41521706100786,6.719974164165588,31500.0,0.790173,462.6318,0.0,126.3703,0.8772523658176239,AUA3SV_1122
76656.79289923591,840.6889,69830.27439009801,-50296.05692760126,9601.199899337373,51.35807591203447,6.840993705166434,31500.0,0.790141,462.6131,0.0,126.3455,0.8769441760964631,AUA3SV_1122
76617.5997486503,884.9357,78311.93434724284,-56536.820624726235,9601.199906859887,51.30084538922507,6.96174621483148,31500.0,0.790109,462.5944,0.0,126.3206,0.8766361757418556,AUA3SV_1122
77999.99990001367,0.0,-75197.38340749308,61695.742294751435,30.480000302717606,52.32129687236312,4.779955429552181,100.0,0.3,198.3755,2330.0,127.8879,1.9948183228551442,DLH4UX_557
77910.13492823853,44.9713,-71610.40777201985,58904.578326411036,562.7563312336422,52.29667739188916,4.833320958619861,1846.0,0.399468,262.5573,2870.0,128.8419,1.9469864280766342,DLH4UX_557
77822.5730514401,89.9426,-66924.4256567592,55131.30314575483,1218.3191651822062,52.26333721977565,4.902972953629449,3997.0,0.506457,330.3752,3000.0,128.8476,1.8904422023284508,DLH4UX_557
77737.8073737538,134.9138,-61019.296567422774,50375.37552026559,1903.6814845832023,52.22125605019716,4.990597293836725,6246.0,0.588943,381.1171,3000.0,128.8556,1.8680013399309379,DLH4UX_557
77654.25030076013,179.8851,-54201.60202977441,44882.90590174938,2589.0438039842034,52.172577091474096,5.091556683645879,8494.0,0.61256,393.1854,3000.0,128.8462,1.8502987439732586,DLH4UX_557
77571.51219488104,224.8564,-47166.28056291213,39217.01116937798,3274.4061233849375,52.12227120243137,5.19550695271629,10743.0,0.637373,405.7397,3000.0,128.8164,1.8320657744226099,DLH4UX_557
77489.61633763196,269.8277,-39902.530123959536,33373.374466732006,3959.768442785352,52.07029223532134,5.30258549209171,12991.0,0.663446,418.7974,3000.0,128.7826,1.8133274834491757,DLH4UX_557
