fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EJU78CP_1097,1074.992180061321,0.7894630857266376,1923642.422630608,530791.1053182483,N,n
EIN84X_1589,1385.2765228942053,0.9323179053977431,1129045.1229492426,280915.09549719095,N,n
EIN84T_1633,1302.0289215623914,0.9325199158847532,1136285.194238305,281489.4965592027,N,n
AUA3NA_1264,1030.5759333885533,0.9503959446079102,2368413.28331095,949156.8813965321,N,n
EIN84T_1564,1335.36244515333,0.6352282494278048,902728.8885009289,230791.93710792065,N,n
VLG139G_110,1014.1832455934984,0.7779322923544907,1528859.2930099964,501118.96685540676,N,n
VLG49VA_328,1033.9224495842952,0.7658087419182599,1615494.8889593482,408640.56174993515,N,n
EIN611_1606,1354.9192962044192,0.45484273332988184,579195.6632425189,287228.9007896185,N,n
EIN611_1587,2169.741840085818,0.7192623219031771,505015.6488047838,190473.1236206293,N,n
EJU13CB_1081,881.1035892434809,0.7332348842795304,1017562.7494012117,312845.33958286047,N,n
AUA3NA_1248,1146.383697498397,0.9307066011755011,2301211.8358957767,600739.0825309753,N,n
