fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EIN611_1579,1466.4583182229494,1.1529494222318526,952850.2653224468,274391.50545853376,D,n
DLH4UX_557,1149.518987020752,1.3224762357752384,2434970.711966574,774265.117367357,D,n
VLG8379_316,1381.5589466213778,1.2536472586480685,998587.7553420961,356734.4997622967,D,n
EZY16MH_978,2049.148603445236,1.099531149956869,802683.0181198418,288855.96905454993,D,n
VLG98RR_135,1315.3450387291587,1.1222518171544944,1135151.9558643103,305071.19590482116,D,n
ITY121_1784,910.3615782817876,1.0843502965558738,1498953.8263967633,413638.07581594586,D,n
EIN84X_1515,1380.056646167459,0.5615355557872779,572280.0126749873,299364.9199038446,D,n
VLG41JT_193,1260.9508736395098,0.5500333626351724,569887.1988948882,328019.25846257806,D,n
AUA3SV_1122,1005.8424472379805,1.2145589238701269,3291349.614735121,1411567.6137122794,D,n
ITY109_1534,1128.9174004881286,1.0664707717648352,3807944.706169203,1726936.4116365165,D,n
EIN60R_1659,2136.771930707592,1.1928053831772487,848622.5076989233,308551.6365368366,D,n
