fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EIN611_1579,1466.4583182229494,1.1529494222318526,44545.747441768646,23159.326491117477,D,n
DLH4UX_557,1149.518987020752,1.3224762357752384,75115.61089104414,48645.56315860152,D,n
VLG8379_316,1381.5589466213778,1.2536472586480685,38196.8843870163,25907.288590431213,D,n
EZY16MH_978,2049.148603445236,1.099531149956869,31313.357007443905,28434.298366874456,D,n
VLG98RR_135,1315.3450387291587,1.1222518171544944,13907.658322811127,6953.829161405563,D,n
ITY121_1784,910.3615782817876,1.0843502965558738,42149.305566966534,25204.22091397643,D,n
EIN84X_1515,1380.056646167459,0.5615355557872779,6953.829161405563,6953.829161405563,D,n
VLG41JT_193,1260.9508736395098,0.5500333626351724,12931.63467130065,12931.63467130065,D,n
AUA3SV_1122,1005.8424472379805,1.2145589238701269,9228.230623602867,8264.463843941689,D,n
ITY109_1534,1128.9174004881286,1.0664707717648352,5791.845378994942,5184.627999901772,D,n
EIN60R_1659,2136.771930707592,1.1928053831772487,40171.962688446045,32175.454277038574,D,n
