fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
ITY113_1804,814.4353932223951,1.4867519609429862,0.0,0.0,DN,n
TRA6875_1499,937.7269954220038,2.2639248017454774,38252.497467041016,32204.630279541016,DN,n
VLG12BR_219,982.1826661859234,1.632964421980216,111139.49880981445,59805.113372802734,DN,n
EIN60Y_1710,2152.6841972620005,1.4172875517977257,73401.76764297485,47068.68912124634,DN,n
EIN611_1579,1085.1661736423366,1.8802987166147438,64529.8278503418,32672.05263519287,DN,n
EIN84T_1587,1460.442896004923,1.444507386479672,86990.92323303223,55008.39192199707,DN,n
DLH3A_603,992.7544953737505,1.9092436890847628,52188.605041503906,28198.740142822266,DN,n
EZY84JU_960,1209.4337877461821,1.7193467186516456,90182.2963256836,75321.31718444824,DN,n
EIN84X_1515,1374.5954051608032,0.9587455308949804,30590.622802734375,30321.876831054688,DN,n
EJU5284_1390,1131.3211475182352,2.1575691439844817,150754.62255859375,69268.27548217773,DN,n
EJU42KM_1219,1171.6924681706855,2.244037548464183,153281.4168395996,73306.8783416748,DN,n
EZS39RG_1538,995.8457285961248,1.5826409024705086,0.0,0.0,DN,n
