fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum
DLH4UX_557,1335.2580829060898,1.3274197550799458,671137.4106718153,509757.56671862304
VLG8379_316,1329.6597419545578,1.0323349680441276,391218.7444676757,249613.89180779457
EIN611_1579,1356.623556309074,0.9410453111676591,221011.07438361645,175413.8838507533
EZY16MH_978,1255.8296993183612,0.8481543397663642,278471.38366526365,182764.6747971475
ITY121_1784,1307.5296231885368,1.0877065540070114,278454.788441658,208343.483117491
EIN84X_1515,1381.7330335491279,0.9879290976173605,251694.68928071856,192047.18830022216
VLG98RR_135,1356.159025525354,0.9908479907297649,253827.62333604693,194988.6184760034
VLG41JT_193,1251.0883417710647,1.1982679946368275,285777.91032633185,232383.77388501167
EIN60R_1659,1365.9508401997155,0.8855543442969602,388132.67623615265,220611.57225447893
ITY109_1534,1367.6984409328434,1.2748307669448262,770065.1080130339,709513.6449637413
AUA3SV_1122,1348.746518806176,1.3949050205832456,995567.1225340366,791696.2860974073
