fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum
AUA3SV_1122,1340.858398612836,0.3985614156103325,543699.178243041,440727.02749323845
DLH4UX_557,1349.2268583881378,0.4459978034395452,349820.97987003624,224065.83589570224
EIN60R_1659,1367.169845958968,0.29098263016383763,204558.34609767795,160629.14421233535
EIN611_1579,1370.8278907402419,0.25853560731629877,106403.96116226912,94340.49193912745
EIN84X_1515,1396.0680483656033,0.2653822807605911,129340.63512605429,110991.77627116442
EZY16MH_978,1250.779360516397,0.2526369330212169,200552.11177954078,141187.26896308362
ITY109_1534,1374.5294386024907,0.4039733685869107,762714.5965690613,709828.6877356768
ITY121_1784,1323.1627859772998,0.3669214921718559,213337.92976900935,154215.50484405458
VLG8379_316,1338.4727325168933,0.3132723692656221,228260.69596502185,171087.86340865493
VLG98RR_135,1370.3936018987006,0.2659922469578346,129340.63512605429,110991.77627116442
