fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EJU78CP_1097,1074.992180061321,0.7894630857266376,362197.68938302994,155530.36092573404,N,n
EIN84X_1589,1385.2765228942053,0.9323179053977431,249208.21825671196,113177.44141507149,N,n
EIN84T_1633,1302.0289215623914,0.9325199158847532,249221.89345622063,113177.44141507149,N,n
AUA3NA_1264,1030.5759333885533,0.9503959446079102,357607.35768550634,268796.2512591481,N,n
EIN84T_1564,1335.36244515333,0.6352282494278048,201900.10906386375,78066.90741860867,N,n
VLG139G_110,1014.1832455934984,0.7779322923544907,267619.574518919,130895.56090670824,N,n
VLG49VA_328,1033.9224495842952,0.7658087419182599,295695.7765672207,168588.08670210838,N,n
EIN611_1606,1354.9192962044192,0.45484273332988184,123935.93686711788,111359.11276519299,N,n
EIN611_1587,2169.741840085818,0.7192623219031771,102453.68301391602,64979.439671874046,N,n
EJU13CB_1081,881.1035892434809,0.7332348842795304,145419.8535488844,68966.15985184908,N,n
AUA3NA_1248,1146.383697498397,0.9307066011755011,450824.8488534689,155489.69602179527,N,n
