fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum
AUA3NA_1248,1341.0743587739416,0.36934804198620974,314534.09852027893,256462.63794767857
AUA3NA_1264,1366.4333106197591,0.3933931155563075,300663.59890818596,270351.7320917845
EIN611_1587,1373.6490561297105,0.2337425225885741,101573.89369475842,84647.99399721622
EIN611_1606,1379.168187480056,0.2780933784232534,148224.6961580515,126386.8747575283
EIN84T_1564,1299.417317716936,0.23593846378289068,112264.82459867,96552.80315506458
EIN84X_1589,1402.4414300766366,0.2935210980651035,157233.67032563686,130234.38069677353
EJU78CP_1097,1436.7441605311324,0.3224301131980763,205829.2520200014,167165.71134775877
VLG139G_110,1393.3994787684933,0.3236583671784219,190493.262119174,157149.64414781332
VLG49VA_328,1333.9528189442863,0.36055164212309454,213519.08066111803,172295.84407806396
