fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
ITY113_1804,814.4353932223951,1.4867519609429862,0.0,0.0,DN,n
TRA6875_1499,937.7269954220038,2.2639248017454774,1687362.5457406044,1184535.1567254066,DN,n
VLG12BR_219,982.1826661859234,1.632964421980216,896109.0447854996,377925.7186689377,DN,n
EIN60Y_1710,2152.6841972620005,1.4172875517977257,323818.09004592896,182764.73891448975,DN,n
EIN611_1579,1085.1661736423366,1.8802987166147438,612588.6624221802,273420.9577484131,DN,n
EIN84T_1587,1460.442896004923,1.444507386479672,424425.25856781006,215897.18544387817,DN,n
DLH3A_603,992.7544953737505,1.9092436890847628,860382.3385810852,385599.9345536232,DN,n
EZY84JU_960,1209.4337877461821,1.7193467186516456,375290.9330396652,240011.0197248459,DN,n
EIN84X_1515,1374.5954051608032,0.9587455308949804,357307.71800231934,294838.11000061035,DN,n
EJU5284_1390,1131.3211475182352,2.1575691439844817,1683315.9410600662,553595.5881457329,DN,n
EJU42KM_1219,1171.6924681706855,2.244037548464183,1856106.7652864456,610092.3492617607,DN,n
EZS39RG_1538,995.8457285961248,1.5826409024705086,173550.86041259766,129782.04778289795,DN,n
