fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
EIN611_1579,1466.4583182229494,1.1529494222318526,201568.5326476097,90256.4313814044,D,n
DLH4UX_557,1149.518987020752,1.3224762357752384,600011.418289423,302630.7431398332,D,n
VLG8379_316,1381.5589466213778,1.2536472586480685,273047.00608083606,155855.72773644328,D,n
EZY16MH_978,2049.148603445236,1.099531149956869,197517.89802986383,124064.84661981463,D,n
VLG98RR_135,1315.3450387291587,1.1222518171544944,208691.72949826717,94485.54855126143,D,n
ITY121_1784,910.3615782817876,1.0843502965558738,323027.2097173929,131216.29754438996,D,n
EIN84X_1515,1380.056646167459,0.5615355557872779,104465.93129843473,94369.23158043623,D,n
VLG41JT_193,1260.9508736395098,0.5500333626351724,136727.09216588736,112780.48405632377,D,n
AUA3SV_1122,1005.8424472379805,1.2145589238701269,668831.0017772466,485217.54762251675,D,n
ITY109_1534,1128.9174004881286,1.0664707717648352,928378.8196783066,785934.6916065216,D,n
EIN60R_1659,2136.771930707592,1.1928053831772487,184549.47969844937,134568.54745844007,D,n
