fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum
DLH3A_603,1287.34128262155,0.7735571019965712,600235.0485814512,462872.3916066885
EIN60Y_1710,1405.7003322969977,0.5422751846475728,194648.3076927513,142650.7888829559
EIN611_1579,1370.827890740402,0.5560399605731277,108657.70954811573,96681.0934625268
EIN84T_1587,1376.0647149115393,0.5826346536237828,250339.19113704562,162640.25939510763
EIN84X_1515,1396.068048365647,0.5776675271449107,104775.81730598211,94648.8613179326
EJU42KM_1219,1154.9898027553572,0.9448616332068572,393633.881468907,239200.2175052613
EZS39RG_1538,1310.4357034096174,0.7011549030649689,273569.1133752763,211006.6010699123
EZY84JU_960,1306.7864004473668,0.5418628842946875,209042.51982316375,163463.8424000442
ITY113_1804,1276.6670495443614,0.643167018742999,170484.81172201037,135867.31747446954
SAS62L_1257,1319.9517415645896,0.5765373211987219,101913.40078485012,97209.91568642855
TRA6875_1499,1343.3975253249082,0.8375243741065121,425334.3730883002,340783.912488997
VLG12BR_219,1368.8964429829357,0.726031140970516,304876.2419799715,209863.0077292174
